Sector,Basis,Component,Measure,Units,Year,Qtr,Value
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1949,3,86.021
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1949,3,71.35
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1949,3,1.538
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1949,3,1.084
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1949,3,0.454
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1949,3,0.561
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1949,3,12.573
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1949,3,62.63
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1949,3,5.134
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1949,3,1.404
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1949,3,3.73
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1949,3,1.613
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1949,3,1.818
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1949,3,1.707
"Total economy","All workers",Farm,Employment,"Millions of jobs",1949,3,9.152
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1949,3,43.206
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1949,3,35.983
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1949,3,0.845
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1949,3,0.605
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1949,3,0.24
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1949,3,0.302
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1949,3,6.076
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1949,4,120.108
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1949,4,9.76
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1949,4,2.86
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1949,4,6.899
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1949,4,3.01
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1949,4,2.153
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1949,4,3.341
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1949,4,16.191
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1949,4,85.653
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1949,4,70.562
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1949,4,1.541
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1949,4,1.084
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1949,4,0.457
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1949,4,0.569
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1949,4,12.982
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1949,4,62.122
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1949,4,5.109
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1949,4,1.352
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1949,4,3.758
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1949,4,1.587
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1949,4,1.993
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1949,4,1.718
"Total economy","All workers",Farm,Employment,"Millions of jobs",1949,4,8.735
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1949,4,42.978
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1949,4,35.585
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1949,4,0.848
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1949,4,0.606
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1949,4,0.242
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1949,4,0.307
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1949,4,6.239
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1950,1,120.482
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1950,1,9.805
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1950,1,2.857
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1950,1,6.949
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1950,1,2.891
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1950,1,2.226
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1950,1,3.391
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1950,1,15.844
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1950,1,86.325
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1950,1,71.47
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1950,1,1.544
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1950,1,1.082
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1950,1,0.462
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1950,1,0.589
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1950,1,12.722
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1950,1,62.116
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1950,1,5.129
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1950,1,1.348
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1950,1,3.781
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1950,1,1.523
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1950,1,2.076
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1950,1,1.734
"Total economy","All workers",Farm,Employment,"Millions of jobs",1950,1,8.556
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1950,1,43.097
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1950,1,35.903
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1950,1,0.85
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1950,1,0.606
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1950,1,0.245
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1950,1,0.317
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1950,1,6.026
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1950,2,122.751
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1950,2,9.919
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1950,2,2.901
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1950,2,7.018
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1950,2,2.779
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1950,2,2.19
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1950,2,3.417
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1950,2,15.986
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1950,2,88.46
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1950,2,73.855
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1950,2,1.52
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1950,2,1.045
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1950,2,0.475
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1950,2,0.577
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1950,2,12.507
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1950,2,63.315
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1950,2,5.213
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1950,2,1.378
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1950,2,3.835
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1950,2,1.47
